Algorithm,ArrayType,ArraySize,OrderType,AverageTimeMs
MergeSort,PartialSorted,100,25%,0.011605
QuickSort,PartialSorted,100,25%,0.003954
IntroSort,PartialSorted,100,25%,0.003728
MergeSort,PartialSorted,100,50%,0.00759
QuickSort,PartialSorted,100,50%,0.003199
IntroSort,PartialSorted,100,50%,0.003059
MergeSort,PartialSorted,100,75%,0.007355
QuickSort,PartialSorted,100,75%,0.002684
IntroSort,PartialSorted,100,75%,0.002805
MergeSort,PartialSorted,100,95%,0.008394
QuickSort,PartialSorted,100,95%,0.00188
IntroSort,PartialSorted,100,95%,0.003564
MergeSort,PartialSorted,100,99%,0.006049
QuickSort,PartialSorted,100,99%,0.000945
IntroSort,PartialSorted,100,99%,0.004102
MergeSort,PartialSorted,100,99.7%,0.005926
QuickSort,PartialSorted,100,99.7%,0.000922
IntroSort,PartialSorted,100,99.7%,0.004051
MergeSort,PartialSorted,500,25%,0.045245
QuickSort,PartialSorted,500,25%,0.020222
IntroSort,PartialSorted,500,25%,0.020168
MergeSort,PartialSorted,500,50%,0.040161
QuickSort,PartialSorted,500,50%,0.020241
IntroSort,PartialSorted,500,50%,0.01926
MergeSort,PartialSorted,500,75%,0.036361
QuickSort,PartialSorted,500,75%,0.015896
IntroSort,PartialSorted,500,75%,0.01837
MergeSort,PartialSorted,500,95%,0.033373
QuickSort,PartialSorted,500,95%,0.011393
IntroSort,PartialSorted,500,95%,0.022841
MergeSort,PartialSorted,500,99%,0.033675
QuickSort,PartialSorted,500,99%,0.008007
IntroSort,PartialSorted,500,99%,0.031637
MergeSort,PartialSorted,500,99.7%,0.032531
QuickSort,PartialSorted,500,99.7%,0.005903
IntroSort,PartialSorted,500,99.7%,0.034136
MergeSort,PartialSorted,1000,25%,0.090405
QuickSort,PartialSorted,1000,25%,0.045145
IntroSort,PartialSorted,1000,25%,0.045551
MergeSort,PartialSorted,1000,50%,0.080772
QuickSort,PartialSorted,1000,50%,0.044045
IntroSort,PartialSorted,1000,50%,0.041995
MergeSort,PartialSorted,1000,75%,0.073669
QuickSort,PartialSorted,1000,75%,0.034887
IntroSort,PartialSorted,1000,75%,0.041136
MergeSort,PartialSorted,1000,95%,0.066891
QuickSort,PartialSorted,1000,95%,0.024443
IntroSort,PartialSorted,1000,95%,0.053181
MergeSort,PartialSorted,1000,99%,0.067386
QuickSort,PartialSorted,1000,99%,0.019346
IntroSort,PartialSorted,1000,99%,0.073265
MergeSort,PartialSorted,1000,99.7%,0.067875
QuickSort,PartialSorted,1000,99.7%,0.013841
IntroSort,PartialSorted,1000,99.7%,0.081087
MergeSort,PartialSorted,5000,25%,0.498484
QuickSort,PartialSorted,5000,25%,0.264211
IntroSort,PartialSorted,5000,25%,0.269307
MergeSort,PartialSorted,5000,50%,0.443464
QuickSort,PartialSorted,5000,50%,0.288037
IntroSort,PartialSorted,5000,50%,0.251372
MergeSort,PartialSorted,5000,75%,0.40607
QuickSort,PartialSorted,5000,75%,0.203681
IntroSort,PartialSorted,5000,75%,0.259899
MergeSort,PartialSorted,5000,95%,0.366771
QuickSort,PartialSorted,5000,95%,0.138837
IntroSort,PartialSorted,5000,95%,0.355464
MergeSort,PartialSorted,5000,99%,0.363273
QuickSort,PartialSorted,5000,99%,0.116281
IntroSort,PartialSorted,5000,99%,0.447884
MergeSort,PartialSorted,5000,99.7%,0.360155
QuickSort,PartialSorted,5000,99.7%,0.103331
IntroSort,PartialSorted,5000,99.7%,0.500532
MergeSort,PartialSorted,10000,25%,1.00773
QuickSort,PartialSorted,10000,25%,0.55141
IntroSort,PartialSorted,10000,25%,0.568968
MergeSort,PartialSorted,10000,50%,0.936892
QuickSort,PartialSorted,10000,50%,0.601669
IntroSort,PartialSorted,10000,50%,0.544635
MergeSort,PartialSorted,10000,75%,0.817805
QuickSort,PartialSorted,10000,75%,0.430458
IntroSort,PartialSorted,10000,75%,0.555936
MergeSort,PartialSorted,10000,95%,0.739301
QuickSort,PartialSorted,10000,95%,0.29372
IntroSort,PartialSorted,10000,95%,0.806668
MergeSort,PartialSorted,10000,99%,0.728453
QuickSort,PartialSorted,10000,99%,0.236257
IntroSort,PartialSorted,10000,99%,1.00366
MergeSort,PartialSorted,10000,99.7%,0.720239
QuickSort,PartialSorted,10000,99.7%,0.219858
IntroSort,PartialSorted,10000,99.7%,1.07451
MergeSort,PartialSorted,50000,25%,5.57747
QuickSort,PartialSorted,50000,25%,3.13425
IntroSort,PartialSorted,50000,25%,3.25416
MergeSort,PartialSorted,50000,50%,4.94392
QuickSort,PartialSorted,50000,50%,3.77169
IntroSort,PartialSorted,50000,50%,3.10545
MergeSort,PartialSorted,50000,75%,4.32442
QuickSort,PartialSorted,50000,75%,2.41764
IntroSort,PartialSorted,50000,75%,3.26338
MergeSort,PartialSorted,50000,95%,3.92478
QuickSort,PartialSorted,50000,95%,1.66003
IntroSort,PartialSorted,50000,95%,5.10722
MergeSort,PartialSorted,50000,99%,3.8479
QuickSort,PartialSorted,50000,99%,1.21392
IntroSort,PartialSorted,50000,99%,5.84668
MergeSort,PartialSorted,50000,99.7%,3.78206
QuickSort,PartialSorted,50000,99.7%,1.12309
IntroSort,PartialSorted,50000,99.7%,6.19951
MergeSort,PartialSorted,100000,25%,11.1519
QuickSort,PartialSorted,100000,25%,6.55312
IntroSort,PartialSorted,100000,25%,6.93265
MergeSort,PartialSorted,100000,50%,10.0448
QuickSort,PartialSorted,100000,50%,8.87129
IntroSort,PartialSorted,100000,50%,6.58342
MergeSort,PartialSorted,100000,75%,8.84557
QuickSort,PartialSorted,100000,75%,5.04049
IntroSort,PartialSorted,100000,75%,6.94412
MergeSort,PartialSorted,100000,95%,7.93285
QuickSort,PartialSorted,100000,95%,3.52078
IntroSort,PartialSorted,100000,95%,11.0386
MergeSort,PartialSorted,100000,99%,7.73485
QuickSort,PartialSorted,100000,99%,2.52169
IntroSort,PartialSorted,100000,99%,12.5249
MergeSort,PartialSorted,100000,99.7%,7.7415
QuickSort,PartialSorted,100000,99.7%,2.2849
IntroSort,PartialSorted,100000,99.7%,13.0345
MergeSort,PartialSorted,500000,25%,60.4064
QuickSort,PartialSorted,500000,25%,36.4798
IntroSort,PartialSorted,500000,25%,39.0975
MergeSort,PartialSorted,500000,50%,54.012
QuickSort,PartialSorted,500000,50%,60.6496
IntroSort,PartialSorted,500000,50%,37.0303
MergeSort,PartialSorted,500000,75%,47.0828
QuickSort,PartialSorted,500000,75%,28.0727
IntroSort,PartialSorted,500000,75%,40.7744
MergeSort,PartialSorted,500000,95%,41.9062
QuickSort,PartialSorted,500000,95%,19.7049
IntroSort,PartialSorted,500000,95%,63.5238
MergeSort,PartialSorted,500000,99%,40.9198
