Algorithm,ArrayType,ArraySize,OrderType,AverageTimeMs
MergeSort,Random,100,Random,0.008768
QuickSort,Random,100,Random,0.003684
IntroSort,Random,100,Random,0.003519
MergeSort,Random,500,Random,0.04563
QuickSort,Random,500,Random,0.022487
IntroSort,Random,500,Random,0.021131
MergeSort,Random,1000,Random,0.095808
QuickSort,Random,1000,Random,0.046925
IntroSort,Random,1000,Random,0.047069
MergeSort,Random,5000,Random,0.51532
QuickSort,Random,5000,Random,0.270084
IntroSort,Random,5000,Random,0.272491
MergeSort,Random,10000,Random,1.08641
QuickSort,Random,10000,Random,0.585419
IntroSort,Random,10000,Random,0.597011
MergeSort,Random,50000,Random,5.99594
QuickSort,Random,50000,Random,3.28265
IntroSort,Random,50000,Random,3.38516
MergeSort,Random,100000,Random,12.1272
QuickSort,Random,100000,Random,6.84212
IntroSort,Random,100000,Random,7.15387
MergeSort,Random,500000,Random,66.2184
QuickSort,Random,500000,Random,38.134
IntroSort,Random,500000,Random,40.3209
MergeSort,Random,1000000,Random,137.235
QuickSort,Random,1000000,Random,79.5053
IntroSort,Random,1000000,Random,84.5533
