Algorithm,ArrayType,ArraySize,OrderType,AverageTimeMs
MergeSort,ReverseSorted,100,Reverse,0.006804
QuickSort,ReverseSorted,100,Reverse,0.000959
IntroSort,ReverseSorted,100,Reverse,0.003802
MergeSort,ReverseSorted,500,Reverse,0.03358
QuickSort,ReverseSorted,500,Reverse,0.004786
IntroSort,ReverseSorted,500,Reverse,0.028728
MergeSort,ReverseSorted,1000,Reverse,0.06686
QuickSort,ReverseSorted,1000,Reverse,0.010182
IntroSort,ReverseSorted,1000,Reverse,0.071769
MergeSort,ReverseSorted,5000,Reverse,0.348344
QuickSort,ReverseSorted,5000,Reverse,0.058767
IntroSort,ReverseSorted,5000,Reverse,0.519924
MergeSort,ReverseSorted,10000,Reverse,0.736439
QuickSort,ReverseSorted,10000,Reverse,0.123369
IntroSort,ReverseSorted,10000,Reverse,1.128
MergeSort,ReverseSorted,50000,Reverse,3.96445
QuickSort,ReverseSorted,50000,Reverse,0.688533
IntroSort,ReverseSorted,50000,Reverse,6.46171
MergeSort,ReverseSorted,100000,Reverse,7.80325
QuickSort,ReverseSorted,100000,Reverse,1.41299
IntroSort,ReverseSorted,100000,Reverse,13.7122
MergeSort,ReverseSorted,500000,Reverse,40.8992
QuickSort,ReverseSorted,500000,Reverse,7.15676
IntroSort,ReverseSorted,500000,Reverse,78.286
MergeSort,ReverseSorted,1000000,Reverse,83.7522
QuickSort,ReverseSorted,1000000,Reverse,14.8057
IntroSort,ReverseSorted,1000000,Reverse,165.909
